Source,Target,Type,Weight
1,657,directed,1
5,657,directed,1
13,656,directed,1
15,656,directed,1
2,656,directed,1
3,656,directed,1
8,656,directed,1
9,656,directed,1
11,656,directed,1
14,656,directed,1
17,656,directed,1
63,656,directed,1
4,656,directed,1
6,656,directed,1
7,656,directed,1
12,656,directed,1
16,656,directed,1
10,656,directed,1
13,658,directed,1
20,658,directed,1
18,658,directed,1
19,658,directed,1
22,658,directed,1
21,658,directed,1
13,659,directed,1
20,659,directed,1
25,659,directed,1
23,659,directed,1
24,659,directed,1
26,659,directed,1
27,659,directed,1
28,659,directed,1
33,659,directed,1
29,659,directed,1
30,659,directed,1
25,660,directed,1
31,660,directed,1
32,660,directed,1
13,662,directed,1
25,662,directed,1
34,662,directed,1
35,662,directed,1
36,662,directed,1
37,662,directed,1
38,662,directed,1
39,662,directed,1
40,662,directed,1
41,662,directed,1
42,662,directed,1
43,662,directed,1
13,665,directed,1
25,665,directed,1
34,665,directed,1
46,665,directed,1
47,665,directed,1
48,665,directed,1
49,665,directed,1
50,665,directed,1
13,666,directed,1
25,666,directed,1
34,666,directed,1
56,666,directed,1
51,666,directed,1
52,666,directed,1
53,666,directed,1
54,666,directed,1
55,666,directed,1
57,666,directed,1
58,666,directed,1
59,666,directed,1
60,666,directed,1
62,666,directed,1
17,666,directed,1
64,666,directed,1
13,668,directed,1
25,668,directed,1
34,668,directed,1
56,668,directed,1
71,668,directed,1
65,668,directed,1
66,668,directed,1
67,668,directed,1
68,668,directed,1
69,668,directed,1
70,668,directed,1
72,668,directed,1
73,668,directed,1
74,668,directed,1
75,668,directed,1
76,668,directed,1
77,668,directed,1
78,668,directed,1
79,668,directed,1
80,668,directed,1
81,668,directed,1
13,672,directed,1
25,672,directed,1
34,672,directed,1
56,672,directed,1
71,672,directed,1
65,672,directed,1
66,672,directed,1
82,672,directed,1
83,672,directed,1
84,672,directed,1
85,672,directed,1
86,672,directed,1
87,672,directed,1
88,672,directed,1
89,672,directed,1
90,672,directed,1
91,672,directed,1
92,672,directed,1
93,672,directed,1
94,672,directed,1
95,672,directed,1
96,672,directed,1
97,672,directed,1
98,672,directed,1
99,672,directed,1
102,672,directed,1
34,673,directed,1
88,673,directed,1
96,673,directed,1
13,657,directed,1
25,657,directed,1
34,657,directed,1
56,657,directed,1
71,657,directed,1
103,657,directed,1
108,657,directed,1
110,657,directed,1
111,657,directed,1
112,657,directed,1
113,657,directed,1
114,657,directed,1
115,657,directed,1
116,657,directed,1
117,657,directed,1
118,657,directed,1
105,675,directed,1
106,675,directed,1
107,675,directed,1
109,675,directed,1
13,676,directed,1
25,676,directed,1
