Source,Target,Type,Weight
1,5,undirected,1
10,13,undirected,1
10,15,undirected,1
13,15,undirected,1
13,2,undirected,1
13,3,undirected,1
13,8,undirected,1
13,9,undirected,1
13,11,undirected,1
13,14,undirected,1
13,17,undirected,1
13,63,undirected,1
13,4,undirected,1
13,6,undirected,1
13,7,undirected,1
13,12,undirected,1
13,16,undirected,1
15,2,undirected,1
15,3,undirected,1
15,8,undirected,1
15,9,undirected,1
15,11,undirected,1
15,14,undirected,1
15,17,undirected,1
15,63,undirected,1
15,4,undirected,1
15,6,undirected,1
15,7,undirected,1
15,12,undirected,1
15,16,undirected,1
2,3,undirected,1
2,8,undirected,1
2,9,undirected,1
2,11,undirected,1
2,14,undirected,1
2,17,undirected,1
2,63,undirected,1
2,4,undirected,1
2,6,undirected,1
2,7,undirected,1
2,12,undirected,1
2,16,undirected,1
3,8,undirected,1
3,9,undirected,1
3,11,undirected,1
3,14,undirected,1
3,17,undirected,1
3,63,undirected,1
3,4,undirected,1
3,6,undirected,1
3,7,undirected,1
3,12,undirected,1
3,16,undirected,1
8,9,undirected,1
8,11,undirected,1
8,14,undirected,1
8,17,undirected,1
8,63,undirected,1
8,4,undirected,1
8,6,undirected,1
8,7,undirected,1
8,12,undirected,1
8,16,undirected,1
9,11,undirected,1
9,14,undirected,1
9,17,undirected,1
9,63,undirected,1
9,4,undirected,1
9,6,undirected,1
9,7,undirected,1
9,12,undirected,1
9,16,undirected,1
11,14,undirected,1
11,17,undirected,1
11,63,undirected,1
11,4,undirected,1
11,6,undirected,1
11,7,undirected,1
11,12,undirected,1
11,16,undirected,1
14,17,undirected,1
14,63,undirected,1
14,4,undirected,1
14,6,undirected,1
14,7,undirected,1
14,12,undirected,1
14,16,undirected,1
17,63,undirected,1
17,4,undirected,1
17,6,undirected,1
17,7,undirected,1
17,12,undirected,1
17,16,undirected,1
63,4,undirected,1
63,6,undirected,1
63,7,undirected,1
63,12,undirected,1
63,16,undirected,1
4,6,undirected,1
4,7,undirected,1
4,12,undirected,1
4,16,undirected,1
6,7,undirected,1
6,12,undirected,1
6,16,undirected,1
7,12,undirected,1
7,16,undirected,1
12,16,undirected,1
13,20,undirected,1
13,18,undirected,1
13,19,undirected,1
13,22,undirected,1
13,21,undirected,1
20,18,undirected,1
20,19,undirected,1
20,22,undirected,1
20,21,undirected,1
18,19,undirected,1
18,22,undirected,1
18,21,undirected,1
19,22,undirected,1
19,21,undirected,1
22,21,undirected,1
13,25,undirected,1
13,23,undirected,1
13,24,undirected,1
13,26,undirected,1
13,27,undirected,1
13,28,undirected,1
13,33,undirected,1
25,20,undirected,1
25,31,undirected,1
25,32,undirected,1
25,23,undirected,1
25,24,undirected,1
25,26,undirected,1
25,27,undirected,1
25,28,undirected,1
25,33,undirected,1
20,23,undirected,1
20,24,undirected,1
20,26,undirected,1
20,27,undirected,1
20,28,undirected,1
20,33,undirected,1
23,29,undirected,1
23,30,undirected,1
23,24,undirected,1
23,26,undirected,1
23,27,undirected,1
23,33,undirected,1
29,30,undirected,1
29,26,undirected,1
29,27,undirected,1
29,33,undirected,1
30,26,undirected,1
30,27,undirected,1
30,33,undirected,1
26,27,undirected,1
26,33,undirected,1
27,33,undirected,1
13,35,undirected,1
13,34,undirected,1
13,36,undirected,1
13,37,undirected,1
13,38,undirected,1
13,39,undirected,1
13,40,undirected,1
13,41,undirected,1
13,43,undirected,1
25,35,undirected,1
25,34,undirected,1
25,36,undirected,1
25,37,undirected,1
25,38,undirected,1
25,39,undirected,1
25,40,undirected,1
25,41,undirected,1
25,43,undirected,1
34,36,undirected,1
34,37,undirected,1
34,38,undirected,1
34,39,undirected,1
34,40,undirected,1
34,41,undirected,1
34,43,undirected,1
36,44,undirected,1
36,45,undirected,1
36,15,undirected,1
36,37,undirected,1
36,38,undirected,1
36,39,undirected,1
36,40,undirected,1
36,41,undirected,1
36,43,undirected,1
37,38,undirected,1
37,39,undirected,1
37,40,undirected,1
37,41,undirected,1
37,43,undirected,1
38,39,undirected,1
38,40,undirected,1
38,41,undirected,1
38,43,undirected,1
39,40,undirected,1
39,41,undirected,1
39,43,undirected,1
40,42,undirected,1
40,41,undirected,1
40,43,undirected,1
42,41,undirected,1
42,43,undirected,1
41,43,undirected,1
13,46,undirected,1
13,47,undirected,1
13,48,undirected,1
13,49,undirected,1
13,50,undirected,1
34,46,undirected,1
34,47,undirected,1
34,48,undirected,1
34,49,undirected,1
34,50,undirected,1
46,47,undirected,1
46,48,undirected,1
46,49,undirected,1
46,50,undirected,1
47,48,undirected,1
47,49,undirected,1
47,50,undirected,1
48,49,undirected,1
48,50,undirected,1
49,50,undirected,1
13,56,undirected,1
13,51,undirected,1
13,52,undirected,1
13,53,undirected,1
13,54,undirected,1
13,55,undirected,1
13,57,undirected,1
13,58,undirected,1
13,59,undirected,1
13,60,undirected,1
13,64,undirected,1
34,56,undirected,1
34,51,undirected,1
34,52,undirected,1
34,53,undirected,1
34,54,undirected,1
34,55,undirected,1
34,57,undirected,1
34,58,undirected,1
34,59,undirected,1
34,60,undirected,1
34,64,undirected,1
25,56,undirected,1
25,51,undirected,1
25,52,undirected,1
25,53,undirected,1
25,54,undirected,1
25,55,undirected,1
25,57,undirected,1
25,58,undirected,1
25,59,undirected,1
25,60,undirected,1
25,64,undirected,1
56,62,undirected,1
56,17,undirected,1
56,51,undirected,1
56,52,undirected,1
56,53,undirected,1
56,54,undirected,1
56,55,undirected,1
56,57,undirected,1
56,58,undirected,1
56,59,undirected,1
56,60,undirected,1
56,64,undirected,1
62,17,undirected,1
51,62,undirected,1
