ID,Label,Affiliations
1,Anjo,Citizen
2,Benn Beckman,Pirate
3,Bonk Punch,Pirate
4,Chicken,Citizen
5,Gol D. Roger,Pirate
6,Gyoru,Citizen
7,Higuma,Bandit
8,Hongo,Pirate
9,Limejuice,Pirate
10,Lord of the Coast,Animal
11,Lucky Roux,Pirate
12,Makino,Citizen
13,Monkey D. Luffy,Pirate
14,Monster,Pirate
15,Shanks,Pirate
16,Woop Slap,Citizen
17,Yasopp,Pirate
18,Alvida,Pirate
19,Heppoko,Pirate
20,Koby,Marine
21,Peppoko,Pirate
22,Poppoko,Pirate
23,Helmeppo,Marine
24,Rika,Citizen
25,Zoro,Pirate
26,Soro,Animal
27,Morgan,Marine
28,Ririka,Pirate
29,Rokkaku,Marine
30,Ukkari,Marine
31,Shimotsuki Koushirou,Citizen
32,Shimotsuki Kuina,Citizen
33,Ripper,Marine
34,Nami,Pirate
35,Pinky,Animal
36,Buggy,Pirate
37,Cabaji,Pirate
38,Mohji,Pirate
39,Richie,Pirate
40,Boodle,Citizen
41,Chouchou,Animal
42,Hocker,Citizen
43,Poro,Citizen
44,Scopper Gaban,Pirate
45,Silvers Rayleigh,Pirate
46,Cocox,Animal
47,Gaimon,Citizen
48,Kirinkodanuki,Animal
49,Lionbuta,Animal
50,Usagihebi,Animal
51,Kaya,Citizen
52,Kuro,Pirate
53,Ninjin,Citizen
54,Piiman,Citizen
55,Tamanegi,Citizen
56,Usopp,Pirate
57,Merry,Citizen
58,Jango,Marine
59,Buchi,Pirate
60,Sham,Pirate
61,Nugire Yainu,Pirate
62,Banchina,Citizen
63,Building Snake,Pirate
64,Going Merry,Pirate
65,Johnny,Citizen
66,Yosaku,Citizen
67,Batchee,Animal
68,Fullbody,Marine
69,Moodie,Citizen
70,Motzel,Citizen
71,Sanji,Pirate
72,Zeff,Chef
73,Gin,Pirate
74,Lines,Marine
75,Pandaman,Citizen
76,Patty,Chef
77,Carne,Chef
78,Krieg,Pirate
79,Dracule Mihawk,Pirate
80,Pearl,Pirate
81,Ideaman,Pirate
82,Arlong,Pirate
83,Chabo,Pirate
84,Chew,Pirate
85,Hatchan,Pirate
86,Kuroobi,Pirate
87,Nezumi,Marine
88,Nojiko,Citizen
89,Genzo,Citizen
90,Kaneshiro,Pirate
91,Pisaro,Pirate
92,Momoo,Animal
93,Pudding Pudding,Marine
94,Shioyaki,Pirate
95,Take,Pirate
96,Bell-mère,Citizen
97,Nako,Citizen
98,Daddy Dee,Citizen
99,Mummy Mee,Citizen
100,Bogard,Marine
101,Monkey D. Garp,Marine
102,Sam,Citizen
103,Packy,Pirate
104,Billy,Animal
105,Brannew,Marine
106,Cancer,Marine
107,John Giant,Marine
108,Koze,Pirate
109,Stainless,Marine
110,Tashigi,Marine
111,Hanger,Citizen
112,Ipponmatsu,Citizen
113,Ipponume,Citizen
114,Smoker,Marine
115,Mashikaku,Marine
116,Sapi,Citizen
117,Yu,Citizen
118,Monkey D. Dragon,Revolutionary Army
119,Crocus,Citizen
120,Laboon,Animal
121,Mr. 9,Bounty Hunter
122,Nefertari Vivi,Noble
123,Yorki,Pirate
124,Miss Friday,Bounty Hunter
125,Mr. 13,Bounty Hunter
126,Igaram,Royal Guard
127,Miss Catherina,Bounty Hunter
128,Mr. Beans,Bounty Hunter
129,Miss Monday,Bounty Hunter
130,Mr. Shimizu,Bounty Hunter
131,Karoo,Animal
132,Gem,Bounty Hunter
133,Mikita,Bounty Hunter
134,Banchi,Animal
135,Nico Robin,Pirate
136,Brogy,Pirate
137,Louis Arnote,Citizen
138,Dorry,Pirate
139,Galdino,Pirate
140,Marianne,Bounty Hunter
141,Samurai Batts,Citizen
142,Crocodile,Pirate
143,Mr. 11,Bounty Hunter
144,Akumai,Pirate
145,Bentham,Prisoner
146,Island Eater,Animal
147,Raideen,Pirate
148,Yuki,Citizen
149,Chess,Pirate
150,Kuromarimo,Pirate
151,Wapol,Pirate
152,Dalton,Noble
153,Negikuma Maria,Citizen
154,Kureha,Citizen
155,Tamachibi,Citizen
156,Tony Tony Chopper,Pirate
157,Robson,Animal
158,Hiriluk,Citizen
159,Nefertari Cobra,Noble
160,Thalassa Lucas,Noble
161,Chessmarimo,Pirate
162,Portgas D. Ace,Pirate
163,Chaka,Royal Guard
164,Miss Mother's Day,Bounty Hunter
165,Miss Saturday,Bounty Hunter
166,Miss Thursday,Bounty Hunter
167,Miss Tuesday,Bounty Hunter
168,Mr. 6,Bounty Hunter
169,Mr. 10,Bounty Hunter
170,Mr. 12,Bounty Hunter
171,Pell,Royal Guard
172,Puppu,Pirate
173,Yoshimoto,Citizen
174,Mr. Mellow,Bounty Hunter
175,Babe,Bounty Hunter
176,Daz Bonez,Pirate
177,Drophy,Bounty Hunter
178,Lassoo,Animal
179,Zala,Bounty Hunter
180,Matsuge,Animal
181,Agotogi,Theif
182,Aswa,Citizen
183,Koza,Citizen
184,Okame,Citizen
185,Toto,Citizen
186,Kebi,Citizen
187,Natto,Citizen
188,Erik,Citizen
189,Farafra,Citizen
190,Kappa,Citizen
191,Ultraking,Citizen
192,Hina,Marine
193,Hasami,Animal
194,Hikoichi,Animal
195,Ivan X,Animal
196,Kentauros,Animal
197,Bourbon Jr.,Animal
198,Cowboy,Animal
199,Stomp,Animal
200,Mr. 7,Bounty Hunter
201,Camie,Citizen
202,Pappag,Animal
203,Barrel,Royal Guard
204,Brahm,Royal Guard
205,Hyota,Royal Guard
206,Arrow,Royal Guard
207,Gyaro,Pirate
208,Macro,Pirate
209,Tansui,Pirate
210,Miss Father's Day,Bounty Hunter
211,Mr. Love,Bounty Hunter
212,Ho,Citizen
213,Terracotta,Citizen
214,Shine,Marine
215,Maidy,Citizen
216,Nefertari Titi,Noble
217,Potsun,Citizen
218,Willie Gallon,Citizen
219,Masira,Pirate
220,Bellamy,Pirate
221,Jesus Burgess,Pirate
222,Jew Wall,Citizen
223,Roshio,Pirate
224,Sarquiss,Pirate
225,Van Augur,Pirate
226,Doc Q,Pirate
227,Eddy,Pirate
228,Hewitt,Pirate
229,Lily,Pirate
230,Mani,Pirate
231,Marshall D. Teach,Pirate
232,Muret,Pirate
233,Rivers,Pirate
234,Ross,Pirate
235,Spector,Citizen
236,Stronger,Animal
237,Terry,Citizen
238,Okome,Pirate
239,Shoujou,Pirate
240,Mont Blanc Cricket,Pirate
241,Jobo,Pirate
242,Bartholomew Kuma,Revolutionary Army
243,Donquixote Doflamingo,Pirate
244,Ethanbaron V. Nusjuro,World Government
245,Jaygarcia Saturn,World Government
246,Marcus Mars,World Government
247,Master,Citizen
248,Shepherd Ju Peter,World Government
249,Topman Warcury,World Government
250,Edward Newgate,Pirate
251,Jozu,Pirate
252,Laffitte,Pirate
253,Marco,Pirate
254,Mozambia,Marine
255,Rockstar,Pirate
256,Sengoku,Marine
257,Tate,Pirate
258,Tsuru,Marine
259,Gan Fall,God
260,Pierre,Animal
261,Wyper,Warrior
262,Amazon,Citizen
263,Conis,Citizen
264,Pagaya,Citizen
265,Su,Animal
266,Fuza,Animal
267,Gedatsu,Citizen
268,Holy,Animal
269,McKinley,Citizen
270,Ohm,Citizen
271,Satori,Citizen
272,Shura,Citizen
273,Zabo,Theif
274,Aisa,Citizen
275,Braham,Warrior
276,Genbo,Warrior
277,Kamakiri,Warrior
278,Raki,Warrior
279,Enel,God
280,Yama,Citizen
281,Nola,Animal
282,Gode,Citizen
283,Isa,Citizen
284,Kotori,Citizen
285,Hotori,Citizen
286,Mayushika,Warrior
287,Warashi,Warrior
288,Yotsubane,Warrior
289,Moyle,Citizen
290,Mochi,Citizen
291,Shandia Chief,Citizen
292,Kalgara,Warrior
293,Mont Blanc Noland,Marine
294,Chiya,Citizen
295,Herb,Citizen
296,Honner,Citizen
297,Kashigami,Animal
298,Mousse,Citizen
299,Seto,Citizen
300,Coburn,Citizen
301,Comil,Marine
302,Aruyutayan V,Noble
303,Ubau,God
304,Marilyn,Citizen
305,Kuzan,Marine
306,Shelly,Animal
307,Tonjit,Citizen
308,Foxy,Pirate
309,Hamburg,Pirate
310,Porche,Pirate
311,Capote,Pirate
312,Chuchun,Pirate
313,Itomimizu,Pirate
314,Kibagaeru,Pirate
315,Monda,Pirate
316,Big Pan,Pirate
317,Pickles,Pirate
318,George Mach,Pirate
319,Mountain Ricky,Pirate
320,Gina,Pirate
321,Donovan,Pirate
322,Sonieh,Pirate
323,Master of the Waters,Animal
324,Chimney,Citizen
325,Gonbe,Animal
326,Kokoro,Citizen
327,Yokozuna,Animal
328,Hattori,Animal
329,Iceburg,Citizen
330,Kaku,World Government
331,Kalifa,World Government
332,Mikazuki,World Government
333,Paulie,Citizen
334,Peepley Lulu,Citizen
335,Rob Lucci,World Government
336,Tilestone,Citizen
337,Tyrannosaurus,Animal
338,Mishoin Cashible,Citizen
339,Zambai,Bounty Hunter
340,Blueno,World Government
341,Ishigo Shitemanna,Citizen
342,Kiev,Bounty Hunter
343,Kop,Bounty Hunter
344,Schollzo,Bounty Hunter
345,Tamagon,Bounty Hunter
346,Corgi,World Government
347,Mozu,Bounty Hunter
348,Dago,Bounty Hunter
349,Footbianco,Bounty Hunter
350,Franky,Pirate
351,Kiwi,Bounty Hunter
352,Ottoland,Bounty Hunter
353,Kakukaku,Citizen
354,Kyukyu,Citizen
355,Happa Yamao,Citizen
356,Tom,Citizen
357,Jorge,World Government
358,Spandam,World Government
359,Bushon,Citizen
360,Stevie,Citizen
361,Jerry,World Government
362,Funkfreed,Animal
363,T Bone,Marine
364,Gomorrah,Animal
365,Sodom,Animal
366,Nero,World Government
367,Wanze,World Government
368,Fukurou,World Government
369,Jabra,World Government
370,Kumadori,World Government
371,Kashii,Pirate
372,Oimo,Pirate
373,Bas,World Government
374,Kerville,World Government
375,And,World Government
376,Gatherine,Citizen
377,Busshiri,Citizen
378,Clou D. Clover,Citizen
379,Gram,Citizen
380,Hack,Citizen
381,Hocha,Citizen
382,Mizuira,Citizen
383,Oran,Citizen
384,Rint,Citizen
385,Roche,Citizen
386,Roji,Citizen
387,Zadie,Citizen
388,Jaguar D. Saul,Citizen
389,Laskey,World Government
390,Nico Olvia,Citizen
391,Spandine,World Government
392,Tsumonsieur Kamaya,World Government
393,Sakazuki,Marine
394,Chesskippa,Pirate
395,Kanezenny,Citizen
396,Nigeratta,Citizen
397,Suzume,Animal
